avg_rating,geek_rating,num_voters,rank,release_date,title,url
7.48,5.684,165.0,4621,2003,Streets of Stalingrad (third edition),/boardgame/12055/streets-stalingrad-third-edition
7.81,5.684,118.0,4622,2016,South Pacific: Breaking the Bismarck Barrier 1942-1943,/boardgame/213648/south-pacific-breaking-bismarck-barrier-1942-1943
7.73,5.692,127.0,4504,2017,Mutabo,/boardgame/238094/mutabo
7.22,5.692,191.0,4505,2012,Sigismundus Augustus: Dei gratia rex Poloniae,/boardgame/133534/sigismundus-augustus-dei-gratia-rex-poloniae
7.63,5.692,135.0,4506,2013,Arkham Investigator,/boardgame/138963/arkham-investigator
7.72,5.692,177.0,4507,2018,Clash of Rage,/boardgame/158753/clash-rage
6.03,5.692,781.0,4508,2012,FlowerFall,/boardgame/125315/flowerfall
6.28,5.692,434.0,4509,2015,Seven7s,/boardgame/172662/seven7s
7.37,5.692,168.0,4510,1992,The Speed of Heat,/boardgame/7251/speed-heat
6.15,5.692,596.0,4511,2016,Vikings on Board,/boardgame/192334/vikings-board
6.22,5.692,631.0,4512,1993,Dragon Strike,/boardgame/1149/dragon-strike
7.21,5.692,175.0,4513,1991,Formule Dé,/boardgame/64897/formule-de
6.21,5.692,459.0,4514,2006,Chopstick Dexterity MegaChallenge 3000,/boardgame/25695/chopstick-dexterity-megachallenge-3000
6.73,5.692,237.0,4515,2015,Warband: Against the Darkness,/boardgame/153905/warband-against-darkness
6.76,5.692,245.0,4516,2018,Echidna Shuffle,/boardgame/236272/echidna-shuffle
6.62,5.692,290.0,4517,2016,Skull King: Das Würfelspiel,/boardgame/191071/skull-king-das-wurfelspiel
7.04,5.692,246.0,4518,2015,The King's Armory,/boardgame/145493/kings-armory
6.38,5.692,367.0,4519,2014,Johari,/boardgame/161965/johari
6.35,5.692,411.0,4520,2016,Greedy Greedy Goblins,/boardgame/184919/greedy-greedy-goblins
7.09,5.692,181.0,4521,2007,Taktika,/boardgame/32129/taktika
6.86,5.692,235.0,4522,2019,Slide Quest,/boardgame/271785/slide-quest
6.37,5.726,490.0,4078,2016,Micro Robots,/boardgame/191543/micro-robots
6.12,5.726,920.0,4079,2000,Mage Knight,/boardgame/864/mage-knight
6.59,5.726,342.0,4080,2014,Long Live the Queen,/boardgame/160419/long-live-queen
6.72,5.726,361.0,4081,1987,Air Superiority,/boardgame/3613/air-superiority
6.15,5.726,668.0,4082,2000,Way Out West,/boardgame/884/way-out-west
6.32,5.726,522.0,4083,1967,Regatta,/boardgame/766/regatta
6.17,5.726,724.0,4084,2016,4 Gods,/boardgame/187104/4-gods
6.8,5.726,312.0,4085,2007,Totensonntag,/boardgame/31697/totensonntag
6.3,5.726,502.0,4086,2009,Savannah Tails,/boardgame/54507/savannah-tails
6.2,5.725,610.0,4087,1990,Express,/boardgame/379/express
6.57,5.725,344.0,4088,2017,Card City XL,/boardgame/216864/card-city-xl
7.02,5.725,244.0,4089,2009,The Hell of Stalingrad,/boardgame/42560/hell-stalingrad
6.63,5.725,317.0,4090,2019,Unlock! Scheherazade's Last Tale,/boardgame/258413/unlock-scheherazades-last-tale
6.81,5.725,276.0,4091,2018,PUSH,/boardgame/265256/push
6.59,5.725,350.0,4092,2005,Freya's Folly,/boardgame/19624/freyas-folly
